msa,race,income,age,naics,wfh,essential,sick,p_race_inc
1600,2,3,2,54,1,0,1,.066944174
1600,1,1,2,54,1,0,1,.014902078
1600,3,3,2,54,1,0,1,.46166781
1600,3,1,2,55,0,0,0,.053107709
1600,2,3,2,55,0,0,0,.036610078
1600,2,2,2,55,0,0,0,.048714433
1600,3,3,2,55,0,0,0,.49398026
1600,2,1,2,55,0,0,0,.025772583
1600,3,2,2,55,0,0,0,.30853656
1600,1,2,2,55,0,0,0,.033278387
1600,2,3,2,55,1,0,0,.033916537
1600,2,2,2,55,1,0,0,.033662595
1600,3,2,2,55,1,0,0,.28646368
1600,1,2,2,55,1,0,0,.028501594
1600,3,3,2,55,1,0,0,.55979544
1600,3,1,2,55,1,0,0,.042965416
1600,2,1,2,55,1,0,0,.014694719
1600,1,2,2,55,0,0,1,.063221931
1600,3,1,2,55,0,0,1,.05841887
1600,2,3,2,55,0,0,1,.073366664
1600,2,1,2,55,0,0,1,.028920792
1600,3,3,2,55,0,0,1,.38478133
1600,2,2,2,55,0,0,1,.063367866
1600,3,2,2,55,0,0,1,.32792258
1600,2,2,2,55,1,0,1,.045134917
1600,2,1,2,55,1,0,1,.016996803
1600,1,2,2,55,1,0,1,.055812102
1600,3,2,2,55,1,0,1,.31382531
1600,3,1,2,55,1,0,1,.048715629
1600,2,3,2,55,1,0,1,.070058897
1600,3,3,2,55,1,0,1,.44945633
1600,2,2,2,56,0,0,0,.23748887
1600,1,2,2,56,0,0,0,.10177211
1600,3,2,2,56,0,0,0,.13895974
1600,3,1,2,56,0,0,0,.072744951
1600,2,3,2,56,0,0,0,.072840728
1600,3,3,2,56,0,0,0,.17906012
1600,1,3,2,56,0,0,0,.040764183
1600,2,1,2,56,0,0,0,.082537934
1600,1,1,2,56,0,0,0,.073831409
1600,1,3,2,56,1,0,0,.049207028
1600,2,1,2,56,1,0,0,.047213636
1600,1,1,2,56,1,0,0,.055834301
1600,2,2,2,56,1,0,0,.17670356
