age_i,naics_i,contactlvl,age_j,naics_j,num_contact_per_person_day,num_people
2,0,neighbor,3,11,.00056145829,561039
2,0,hh,3,21,.00062384253,561039
2,0,neighbor,3,21,.014699513,561039
2,0,hh,3,22,.00046699072,561039
2,0,neighbor,3,22,.0098638423,561039
2,0,hh,3,23,.0085484255,561039
2,0,neighbor,3,23,.20511052,561039
2,0,hh,3,31,.024324512,561039
2,0,neighbor,3,31,.57651609,561039
2,0,hh,3,42,.0082543278,561039
2,0,neighbor,3,42,.20405534,561039
2,0,hh,3,44,.019000461,561039
2,0,neighbor,3,44,.4399302,561039
2,0,hh,3,48,.00864824,561039
2,0,neighbor,3,48,.20744191,561039
2,0,hh,3,51,.0062883329,561039
2,0,neighbor,3,51,.15674846,561039
2,0,hh,3,52,.011222037,561039
2,0,neighbor,3,52,.27640146,561039
2,0,hh,3,53,.0043152082,561039
2,0,neighbor,3,53,.10607819,561039
2,0,hh,3,54,.014173702,561039
2,0,neighbor,3,54,.34897575,561039
2,0,hh,3,55,.0046930783,561039
2,0,neighbor,3,55,.11376928,561039
2,0,hh,3,56,.012501805,561039
2,0,neighbor,3,56,.30424622,561039
2,0,hh,3,61,.0025363655,561039
2,0,neighbor,3,61,.063754924,561039
2,0,hh,3,62,.017120022,561039
2,0,neighbor,3,62,.40492371,561039
2,0,hh,3,71,.0013207638,561039
2,0,neighbor,3,71,.032238401,561039
2,0,hh,3,72,.0098798834,561039
2,0,neighbor,3,72,.22876306,561039
2,0,hh,3,81,.006896134,561039
2,0,neighbor,3,81,.16370341,561039
2,0,hh,3,92,.00002673611,561039
2,0,neighbor,3,92,.0010070602,561039
2,0,hh,4,0,.056662727,561039
2,0,neighbor,4,0,2.0072384,561039
2,0,hh,4,11,.000014259258,561039
2,0,neighbor,4,11,.0002923148,561039
2,0,hh,4,21,.00014793981,561039
2,0,neighbor,4,21,.0056413189,561039
2,0,hh,4,22,.00013724536,561039
2,0,neighbor,4,22,.0045148376,561039
2,0,hh,4,23,.0020301619,561039
2,0,neighbor,4,23,.07822451,561039
2,0,hh,4,31,.0054113884,561039
2,0,neighbor,4,31,.22398444,561039
2,0,hh,4,42,.0019232174,561039
2,0,neighbor,4,42,.07504648,561039
2,0,hh,4,44,.0043205554,561039
2,0,neighbor,4,44,.16676916,561039
2,0,hh,4,48,.00196956,561039
2,0,neighbor,4,48,.08035627,561039
