"age","naics","sick","wfh","essential","num_people","race","income","N","prob_age_income"
2,42,0,0,0,146.902458951204,3,1,1431.09122227586,0.0492182518913282
2,42,0,0,0,30.7071560219945,1,1,299.142313599586,0.0102881364324804
2,42,1,0,0,61.1629187166175,1,3,861.996482127503,0.0560981060631887
2,42,1,0,0,53.6521810551161,2,1,756.144283144105,0.0492093217018692
2,42,1,0,0,82.27423411925,1,2,1159.52773132227,0.0754612240346752
2,42,1,0,0,85.7213208194225,2,3,1208.10907229628,0.0786228624811862
2,42,1,0,0,19.4315601107227,1,1,273.857703477144,0.0178224607807735
2,42,1,0,0,182.007302014098,3,2,2565.11064791689,0.166935541123672
2,42,1,0,0,211.628985182208,2,2,2982.5823320906,0.194104295640341
2,42,1,0,0,57.8811935381122,3,1,815.745655343263,0.0530881357903997
2,42,1,0,0,336.525217944453,3,3,4742.80103209816,0.308658052383894
2,42,1,0,1,559.353177690604,1,3,861.996482127503,0.0560981060631887
2,42,1,0,1,490.665236272598,2,1,756.144283144105,0.0492093217018692
2,42,1,0,1,752.422468749187,1,2,1159.52773132227,0.0754612240346752
2,42,1,0,1,783.947107206192,2,3,1208.10907229628,0.0786228624811862
2,42,1,0,1,177.707426713527,1,1,273.857703477144,0.0178224607807735
2,42,1,0,1,1664.51119208638,3,2,2565.11064791689,0.166935541123672
2,42,1,0,1,1935.41034072568,2,2,2982.5823320906,0.194104295640341
2,42,1,0,1,529.340819787784,3,1,815.745655343263,0.0530881357903997
2,42,1,0,1,3077.62372986805,3,3,4742.80103209816,0.308658052383894
2,44,0,0,0,21600.1562481525,1,2,11758.8934926139,0.101557870926063
2,44,0,0,0,13557.1598562742,1,3,7380.37248345847,0.0637419597798165
2,44,0,0,0,9080.6622201977,1,1,4943.41516158432,0.0426947245699156
2,44,0,0,0,28547.8270277835,2,2,15541.1309811234,0.134223868531283
2,44,0,0,0,13094.1502857697,2,1,7128.31503706439,0.0615650187587143
2,44,0,0,0,61966.5641308167,3,3,33733.933187628,0.291349388839136
